ID,Question,Choice_1,Choice_2,Choice_3,Choice_4,Answer
1,"Q2. In mesh analysis, a circuit has two loops with equations: 10I1 - 5I2 = 20 and -5I1 + 15I2 = 30. Solve for I1.","""1 A","""2 A","""3 A ","""4 A","""2 A"
2,Q3. A resistor of 6 ohms is in parallel with a 12 ohms resistor. What is the equivalent resistance?,3 ohms,4 ohms,6 ohms,8 ohms,4 ohms
3,Q4. A 10uF capacitor is connected across 200 V DC. How much energy is stored?,0.1 J,0.2 J,0.4 J,0.5 J,0.2 J
4,Q5. A 20 H inductor has a current of 5 A. What is the stored magnetic energy?,125 J,150 J,200 J,250 J,250 J
5,Q6. A 100 ohms resistor carries 0.5 A. What is the voltage across it?,25 V,50 V,75 V,100 V,50 V
6,Q7. Find the Thevenin resistance of a 12 V source with 6 ohms internal resistance connected to a 6 ohms load.,3 ohms,6 ohms,12 ohms,18 ohms,6 ohms
7,Q8. A 1 kohms resistor and 2 kohms resistor are in series across 30 V. What is the voltage across the 2 kohms resistor?,10 V,15 V,20 V,25 V,20 V
8,Q9. A 100uF capacitor is connected to 50 Hz AC with 100 V rms. Find the capacitive reactance.,15.9 ohms,31.8 ohms,63.6 ohms,100 ohms,31.8 ohms
9,Q10. A coil has R = 20 ohms and XL = 30 ohms. Find the power factor.,0.5,0.6,0.7,0.8,0.6
10,"Q11. A parallel RLC circuit has R=20 ohms, XL=40 ohms, XC=40 ohms. What is the admittance magnitude?",0.05 S,0.1 S,0.2 S,0.25 S,0.05 S
11,"Q12. A series RLC circuit has R=10 ohms, L=0.1 H, C=100uF. Find the resonant frequency.",50 Hz,100 Hz,159 Hz,318 Hz,159 Hz
12,Q13. A load consumes 500 W at 0.8 pf lagging. Find the reactive power.,375 VAR,400 VAR,450 VAR,500 VAR,375 VAR
13,Q14. A transmission line has Z0 = 75 ohms and load impedance 100 ohms. Find reflection coefficient.,0.14,0.25,0.33,0.4,0.14
14,"Q15. A magnetic circuit has l=0.5 m, A=2 cm², ur=1000, N=500 turns, I=2 A. Find flux density B.",0.4 T,0.6 T,0.8 T,1.0 T,0.8 T
