ID,Question,Choice_1,Choice_2,Choice_3,Choice_4,Answer
1,What is Republic Act No. 9514 called?,Fire Safety Act,Building Code,Fire Code of the Philippines,Emergency Response Law,Fire Code of the Philippines
2,What is the primary purpose of Republic Act 7925?,To regulate the importation of telecommunications equipment.,To establish a new telecommunications company.,To promote and govern the development of Philippine Telecommunications and the delivery of Public Telecommunications Services.,To privatize the telecommunications industry.,To promote and govern the development of Philippine Telecommunications and the delivery of Public Telecommunications Services.
3,What is the purpose of Act No. 3846 in the Philippine Islands?,To regulate the operation of radio stations and radio communications.,To promote tourism in the Philippines.,To establish a national holiday.,To govern the fishing industry.,To regulate the operation of radio stations and radio communications.
4,What is the legislative name of RA 6849?,The Rural Telecommunications Act,The Telecommunication Expansion Law,The Municipal Telephone Act,The Telecommunication Regulation Act,The Municipal Telephone Act
5,What is the most common term used to refer to Act No. 3846?,Ship Radio Station Law,Radio Control Law of 1927,Radio Control Law of 1931,The Maritime Safety Act,Radio Control Law of 1931
6,Which term is used to refer to Act No. 3396?,The Maritime Safety Act,The Ship Radio Station Law,The Navigation Regulation Act,The Marine Communication Bill,The Ship Radio Station Law
7,What is officially known as the Data Privacy Act of 2012?,Republic Act No. 10515,Republic Act No. 8792,Republic Act No. 7925,Republic Act No. 10173,Republic Act No. 10173
8,What is the legislative reference for the 'Anti-Cable Television and Cable Internet Tapping Act of 2013'?,Republic Act No. 10515,Republic Act No. 8792,Republic Act No. 7925,Republic Act No. 3997,Republic Act No. 3997
9,What is the alternative name for Republic Act No. 8792?,The Digital Document Legislation of 2000,The Electronic Commerce Act of 2000,The Cybersecurity and Data Privacy Act of 2000,The Internet Commercialization Act of 2000,The Electronic Commerce Act of 2000
10,What is also known as the Electronic Commerce Act of 2000,Republic Act No. 8792,Republic Act No. 2000,Republic Act No. 7925,Republic Act No. 3997,Republic Act No. 8792
11,What law regulates radio broadcasting in the Philippines?,Act No. 3396,Act No. 3886,Act No. 5944,Act No. 3997,Act No. 3396
12,What does RA 8792 primarily pertain to?,Recognition and use of Electronic Commercial and Non-commercial transactions and documents,Recognition of traditional paper-based transactions and documents,Recognition of electronic gaming transactions,Recognition and use of traditional handwritten documents,Recognition and use of Electronic Commercial and Non-commercial transactions and documents
13,Which Philippine law is commonly known as the 'Intellectual Property Code of the Philippines'?,RA 7394,RA 5678,RA 8293,RA 9876,RA 8293
14,Which act is commonly referred to as 'The Consumer Act of the Philippines'?,RA 10844,RA 7925,RA 7394,RA 6849,RA 7394
15,Which law is responsible for the creation of the Department of Information and Communications Technology (DICT)?,RA 10844,RA 7925,RA 8370,RA 6849,RA 10844
16,On what date did the law establishing the Department of Information and Communications Technology (DICT) take effect after being signed by President Aquino?,"June 9, 2015","June 9, 2016","June 9, 2017","June 9, 2018","June 9, 2016"
17,On what date was the law establishing the Department of Information and Communications Technology (DICT) signed into law by President Aquino?,"May 23, 2016","June 9, 2016","July 27, 2016","August 4, 2016","May 23, 2016"
18,Which act is commonly referred to as the 'Children's Television Act of 1997'?,RA 8370,RA 4200,RA 3846,RA 6849,RA 8370
19,Which of the following is also known as the 'PRC Modernization Act of 2000'?,RA 9184,RA 8981,RA 8762,RA 8550,RA 8981
20,Which act establishes the National Building Code of the Philippines?,RA 6541,RA 4200,RA 386,RA 7925,RA 6541
21,Which legislation serves as the regulatory framework for the telecommunications sector in the Philippines?,Republic Act No. 4200,Republic Act No. 9292,Republic Act No. 7925,Republic Act No. 3846,Republic Act No. 7925
22,Which Philippine law is commonly referred to as the 'Free Internet Access in Public Places Act'?,RA 10929,RA 3846,RA 7925,RA 7920,RA 10929
23,Which Republic Act is referred to as the Continuing Professional Development Act of 2016?,RA 10912,RA 4200,RA 10844,RA 7925,RA 10912
24,Which Republic Act is referred to as the 'Mobile Number Portability Act'?,Republic Act No. 11202,Republic Act No. 4200,Republic Act No. 3689,Republic Act No. 7925,Republic Act No. 11202
25,What is the official name of the 'Department of Information and Communications Technology Act of 2015'?,RA 10844,RA 7925,RA 11202,RA 4200,RA 10844
26,"Which act mandates and strengthens the Continuing Professional Development Program for all regulated professions, creates the Continuing Professional Development Council, and appropriates funds for such purposes?",RA 10912,RA 11202,RA 10844,RA 7925,RA 10912
27,Which legislative action represents the amalgamation of House Bill No. 5224 and Senate Bill No. 2683?,RA 9292,HB 5224,SB 2683,House and Senate Consolidation,RA 9292
28,What is the title of RA 4200?,Data Privacy Act,Anti-Wiretapping Act,Telecommunications Regulation Act,Electronic Privacy Act,Anti-Wiretapping Act
29,What is the purpose of Republic Act No. 11202?,Regulating mobile service providers,Providing mobile number portability,Subscriber registration requirements,National mobile communication standards,Providing mobile number portability
30,"Which Republic Act is responsible for prohibiting and imposing penalties on wiretapping and other associated infringements on the privacy of communication, among other objectives?",RA 4200,RA 2400,RA 3200,RA 5200,RA 4200
31,What is the primary objective of RA 7920?,Regulating the practice of medical professionals,"Regulating the practice, licensing, and registration of electrical engineers and electricians",Regulating the use of electronic devices in public spaces,Regulating the construction industry,"Regulating the practice, licensing, and registration of electrical engineers and electricians"
