ID,Question,Choice_1,Choice_2,Choice_3,Choice_4,Answer
1,A projectile is launched vertically with an initial velocity of 60 m/s. What is the maximum height reached? (g = 9.8 m/s≤),120 m,180 m,240 m,300 m,183.67 m
2,"Determine the present worth of P50,000 to be received 4 years from now if the annual interest rate is 6%.","P39,600","P42,000","P44,200","P48,000","P39,600"
3,"If the resistance of a wire is 10 ohms at 20∞C and increases to 12 ohms at 70∞C, what is the temperature coefficient of resistance?",0.003 /∞C,0.004 /∞C,0.005 /∞C,0.006 /∞C,0.004 /∞C
4,A 5 kg object moving at 10 m/s hits a wall and bounces back at 4 m/s. What is the impulse delivered by the wall?,30 Ns,50 Ns,70 Ns,90 Ns,70 Ns
5,Find the energy required to raise the temperature of 0.5 kg of copper from 25∞C to 75∞C. (Specific heat of Cu = 385 J/kg∞C),"9,625 J","11,250 J","18,250 J","19,250 J","9,625 J"
6,A resistor dissipates 50 W of power at 10 V. What is its resistance?,1 ohm,2 ohms,5 ohms,10 ohms,2 ohms
8,A 1.5 kg block is placed on a frictionless incline at 30∞. What is the force pulling the block down the incline? (g = 9.8 m/s≤),5.25 N,7.35 N,9.8 N,12.5 N,7.35 N
9,What is the total energy in joules of a 2000 kg truck moving at 15 m/s?,"150,000 J","225,000 J","300,000 J","450,000 J","225,000 J"
10,A 2.5 µF capacitor is connected to a 12 V battery. How much energy is stored in the capacitor?,0.18 mJ,0.25 mJ,0.36 mJ,0.48 mJ,0.18 mJ
11,"If a sound wave has a frequency of 500 Hz and a wavelength of 0.68 m, what is the speed of sound?",240 m/s,280 m/s,320 m/s,340 m/s,340 m/s
12,Calculate the enthalpy change if 2 moles of a substance absorb 150 kJ/mol during a reaction.,75 kJ,150 kJ,300 kJ,600 kJ,300 kJ
13,What is the magnetic force on a 0.05 C charge moving at 200 m/s perpendicular to a 0.3 T magnetic field?,1.5 N,2.0 N,3.0 N,5.0 N,3.0 N
14,A Carnot engine operates between 500 K and 300 K. What is its maximum theoretical efficiency?,20%,30%,40%,60%,40%
15,What is the power output if a 60 kg person climbs a 3.0 m ladder in 4 seconds? (g = 9.8 m/s≤),441 W,490 W,588 W,735 W,441 W
16,What is the frequency of a wave with a period of 0.02 seconds?,20 Hz,25 Hz,40 Hz,50 Hz,50 Hz
17,Find the number of moles in 11.2 L of an ideal gas at STP.,0.25 mol,0.50 mol,1.00 mol,2.00 mol,0.50 mol
18,A 10-ohm resistor is connected across a 9 V battery. What is the current?,0.9 A,1.0 A,1.2 A,1.5 A,0.9 A
19,What is the total capacitance of three 6 µF capacitors connected in series?,2 µF,3 µF,4 µF,18 µF,2 µF
20,Calculate the mechanical advantage of an inclined plane with a length of 6 m and a height of 1.5 m.,2,3,4,6,4
21,What is the equivalent resistance of three 12-ohm resistors in parallel?,4 ohms,6 ohms,8 ohms,36 ohms,4 ohms
22,"If the specific heat capacity of a metal is 0.45 J/g∞C, how much heat is needed to raise the temperature of 200 g of the metal from 20∞C to 80∞C?","5,400 J","6,400 J","7,200 J","8,100 J","5,400 J"
23,The half-life of a radioactive isotope is 8 hours. How much of a 200 g sample remains after 24 hours?,100 g,50 g,25 g,12.5 g,25 g
24,"A gas occupies 2 L at 300 K. What will be its volume at 600 K, assuming pressure is constant?",1 L,2 L,4 L,6 L,4 L
25,Calculate the entropy change when 500 J of heat is transferred to a system at 25∞C.,1.5 J/K,2.0 J/K,2.5 J/K,3.0 J/K,1.67 J/K
26,Which nanomaterial has the highest tensile strength?,Carbon nanotube,Graphene oxide,Silicon nanowire,Zinc oxide nanoparticle,Carbon nanotube
27,What is the potential difference across a 4 µF capacitor charged with 2 mC of charge?,250 V,400 V,500 V,750 V,500 V
28,"A factory buys a machine for P500,000. If the salvage value is P50,000 after 10 years, what is its straight-line depreciation per year?","P40,000","P45,000","P50,000","P55,000","P45,000"
29,"An asset costs P250,000 and yields P30,000/year for 12 years. If i = 10%, what is the present worth? (Uniform Series Present Worth Factor)","P205,000","P215,000","P225,000","P235,000","P205,000"
30,"If 1 mole of gas occupies 24.5 L at 27∞C and 1 atm, what is the gas constant R in L∑atm/mol∑K?",0.0821,0.0831,0.0841,0.0851,0.0821
31,How long will it take for an investment to double at 8% annual interest compounded annually?,6.5 years,8.5 years,9.0 years,9.5 years,9.0 years
32,Determine the efficiency of a heat engine that absorbs 800 J and expels 200 J.,25%,50%,60%,75%,75%
