ID,Question,Choice_1,Choice_2,Choice_3,Choice_4,Answer
1,The first law of thermodynamics states that:,Entropy of an isolated system increases over spontaneous processes,"Energy can neither be created nor destroyed, only transformed",Work output from any system exceeds the energy input required,Heat energy can be fully converted into mechanical work always,"Energy can neither be created nor destroyed, only transformed"
2,Which thermodynamic property determines spontaneity of chemical reactions?,Gibbs free energy balancing enthalpy and entropy changes,Enthalpy describing total heat content at constant pressure,Internal energy measuring microscopic kinetic and potential,Entropy quantifying randomness of atomic and molecular states,Gibbs free energy balancing enthalpy and entropy changes
3,"In a fuel cell, hydrogen and oxygen combine to directly produce:",Heat energy lost during recombination of gaseous molecules,Kinetic energy imparted to moving particles in electrodes,Electricity generated by electrochemical redox reactions,Gravitational energy stored as elevated water reservoirs,Electricity generated by electrochemical redox reactions
4,Which renewable energy source converts sunlight directly into electricity?,Wind turbines rotating blades to drive electrical generators,Solar photovoltaic cells transforming photon energy into current,Biomass energy obtained by fermentation and combustion of crops,Hydroelectric dams releasing potential energy of stored water,Solar photovoltaic cells transforming photon energy into current
5,Which fossil fuel consists primarily of methane gas molecules?,Coal formed from decomposed plant matter rich in carbon,Natural gas composed mostly of methane hydrocarbons,"Petroleum refined into gasoline, diesel, and jet fuel types",Peat consisting of partially decayed organic vegetation matter,Natural gas composed mostly of methane hydrocarbons
6,Which bonding type involves sharing electron pairs between atoms?,Metallic bonding with delocalized electrons moving freely,Ionic bonding involving attraction between opposite charges,van der Waals bonding arising from temporary dipole forces,Covalent bonding formed by shared electron pairs of atoms,Covalent bonding formed by shared electron pairs of atoms
7,Which type of material structure lacks long-range atomic order?,Composite material consisting of multiple different phases,Amorphous structure where atoms are arranged randomly,Polycrystalline solid containing numerous aligned grains,Crystalline structure with regularly repeating atomic arrays,Amorphous structure where atoms are arranged randomly
8,Which metallurgical process relieves internal stresses and refines grain structure?,Tempering adjusting toughness and hardness of alloys,Hardening increasing dislocation density through rapid cooling,Annealing involving controlled heating and slow cooling,Quenching producing hard but brittle metallic structures,Annealing involving controlled heating and slow cooling
9,Which ceramic is widely used in cutting tools because of its hardness?,Glass ceramics manufactured through controlled crystallization,Silicon carbide ceramics offering exceptional wear resistance,Clay-based ceramics applied for pottery and construction,Alumina ceramics commonly used as insulating substrates,Silicon carbide ceramics offering exceptional wear resistance
10,"In crystalline materials, what type of defect is characterized by a missing atom from a regular lattice site, leading to a localized distortion of the crystal structure and is often created by thermal vibrations?",Interstitial impurity atom,Frenkel defect,Dislocation,Vacancy,Vacancy
11,"What is the primary characteristic of an amorphous solid that distinguishes it from a crystalline solid, a property that makes it lack a long-range order in its atomic arrangement and which leads to a broad diffraction peak instead of sharp spots?",It exhibits a glass transition temperature rather than a distinct melting point.,It has a high melting point.,It possesses directional bonding that results in anisotropic properties.,"Its atoms are arranged in a regular, repeating pattern.",It exhibits a glass transition temperature rather than a distinct melting point.
12,"What is the main reason that makes ceramics, like alumina and silicon carbide, so hard and brittle, which is due to the nature of their strong covalent or ionic bonds that resist dislocation motion and fracture propagation?",The absence of long-range order.,"The strong, non-directional bonds between their constituent atoms.",Their large density.,Their low melting temperatures.,"The strong, non-directional bonds between their constituent atoms."
13,"In the context of polymer chemistry, what is the term for a polymer that consists of only one type of monomer, a simple linear structure that can be easily recycled and processed into new materials?",Copolymer,Homopolymer,Elastomer,Thermoset,Homopolymer
14,"What type of polymer is characterized by its ability to be melted and reshaped multiple times without significant chemical degradation, due to the weak van der Waals forces between its long chains?",Thermoplastic,Thermoset,Homopolymer,Elastomer,Thermoplastic
15,"What is the fundamental difference between a substitutional solid solution and an interstitial solid solution in metals, a distinction based on how the solute atoms are incorporated into the solvent lattice?",An interstitial solution is always stronger than a substitutional solution.,"A substitutional solution has atoms of similar size, while an interstitial one has atoms of very different sizes.","A substitutional solution has solvent atoms replaced by solute atoms, while an interstitial one has smaller solute atoms occupying spaces between solvent atoms.","A substitutional solution forms only with non-metals, while an interstitial one forms with metals.","A substitutional solution has solvent atoms replaced by solute atoms, while an interstitial one has smaller solute atoms occupying spaces between solvent atoms."
16,"What is the main characteristic that makes a metal ductile and malleable, a property that allows it to be deformed plastically without fracturing, primarily due to the movement of dislocations through the crystal lattice?",Its low density.,A high resistance to electrical current flow.,The metallic bonding with its delocalized electrons.,The presence of strong ionic bonds.,The metallic bonding with its delocalized electrons.
17,"In the context of polymer chemistry, what is the process called when long polymer chains are linked together by strong, irreversible covalent bonds to form a rigid, cross-linked network, a process that makes the material infusible and insoluble?",Vulcanization,Chain scission,Polymerization,Crystallization,Vulcanization
18,"What is the primary advantage of using composite materials over their individual components, an advantage that stems from combining the properties of different materials to create a new material with superior characteristics?",Their low cost.,They are always lighter than their components.,Their simple manufacturing process.,The ability to tailor the material's properties for a specific application.,The ability to tailor the material's properties for a specific application.
