ID,Question,Choice_1,Choice_2,Choice_3,Choice_4,Answer
1,Evaluate lim (to 0) (sin(3x)/x).,1,0,3,inf ,3
2,Find the second derivative of y = (x^2 + 1)^3.,12x^2(x^2+1),12x^2(x^2+1)^2 + 6(x^2+1),6(x^2+1),12x(x^2+1)^2,12x^2(x^2+1) + 6(x^2+1)
3,The slope of the tangent to y = x^3 - 2x + 1 at x = 2 is?,2,4,8,10,10
4,"If y = e^(2x), compute dy/dx.",2e^(2x),e^(2x),x·e^(2x),4e^(2x),2e^(2x)
5,"A ladder 10 m long leans against a wall. If the bottom slides away at 1 m/s, how fast is the top sliding down when the bottom is 6 m away?",0.8 m/s,1.2 m/s,0.6 m/s,1.6 m/s,0.8 m/s
6,Find the area under y = x^2 from x = 0 to 2.,3-Aug,3-Apr,2,16/3,3-Aug
7,"If f(x) = ln(x^2 + 1), compute f prime of x.",2x/(x^2+1),1/(x^2+1),2/(x+1),x/(x^2+1),2x/(x^2+1)
8,Evaluate integral of (3x^2- 2x + 1) dx.,x^3 - x^2 + x + C,x^3 - x^2 + C,x^3 - 2x^2 + x + C,x^3 - 2x^2 + 2x + C,x^3 - x^2 + x + C
9,Find the curvature thetaº of y = ln(sec x) at x = 0.,1,cos(0),0,sec(0),1
10,A cylindrical tank of radius 4 m is being filled at 2 m³/min. Find the rate of rise of water.,1/(8 pi) m/min,2/( pi) m/min,1/(2 pi) m/min,1/(4 pi) m/min,1/(8 pi) m/min
11,Evaluate lim (to inf ) (5x^3 + 2x) / (2x^3 - 7).,inf ,2-May,0,5-Feb,2-May
12,Find dy/dx if x^2 + y^2 = 25.,-x/y,y/x,2x/2y,x/y,-x/y
13,A cube has edges increasing at 2 cm/s. How fast is the volume increasing when side = 5 cm?,250 cm³/s,150 cm³/s,200 cm³/s,300 cm³/s,150 cm³/s
14,Evaluate integral of e^(2x) dx.,e^(2x) + C,(1/2)e^(2x) + C,2e^(2x) + C,(1/4)e^(2x) + C,(1/2)e^(2x) + C
15,Compute second derivative of for y = cos(3x).,-9cos(3x),-9sin(3x),-cos(3x),-3cos(3x),-9cos(3x)
16,Find integral of (1/(x ln x)) dx.,ln(ln x) + C,1/ln x + C,ln x + C,x ln x + C,ln(ln x) + C
17,"If f(x,y) = x^2 y + 3y^2, compute partial derivative of the function with respect to x.",2xy,y^2,x^2,2x,2xy
18,"A 12 m ladder is placed against a wall. If the top slides down at 2 m/s, how fast is the bottom moving away when top is 5 m high?",2.4 m/s,2.6 m/s,3.2 m/s,3.6 m/s,2.6 m/s
19,Evaluate integral of (cos²x) dx.,(x/2) + (1/4)sin(2x) + C,sin(2x)/2 + C,(x/2) - (1/4)sin(2x) + C,tan(x) + C,(x/2) + (1/4)sin(2x) + C
20,Find the Maclaurin series expansion of e^x up to the x^3 term.,1 + x + x^2/2! + x^3/6,1 + x + x^2 + x^3/2,1 + x^2/2 + x^3/6,x + x^2/2! + x^3/3!,1 + x + x^2/2! + x^3/6
21,Evaluate integral of (x^2)/(x^3+1) dx.,(1/3)ln(x^3+1) + C,ln(x+1) + C,(1/2)ln(x^2+1) + C,(1/3)arctan(x^3) + C,(1/3)ln(x^3+1) + C
