ID,Question,Choice_1,Choice_2,Choice_3,Choice_4,Answer
1,"What name was given to Republic Act No. 9292, enacted in 2004?",The Electronics Engineering Law of 2004,The Technology Regulation Act of 2004,The Electronic Devices Act of 2004,The Engineering Standards and Practices Act of 2004,The Electronics Engineering Law of 2004
2,What level of education is required for an individual to be eligible to take the Electronics Engineering licensure examination?,Successful completion of a Bachelor's program in Electronics Engineering or a related discipline.,Possession of a Bachelor's degree in any branch of engineering or the sciences.,Attainment of an Associate degree in Electronics Engineering or a related field.,Completion of a vocational or technical program in Electronics Engineering or a related field.,Successful completion of a Bachelor's program in Electronics Engineering or a related discipline.
3,What is the resolution related to the IECEP PECE Schedule of Fees for Electronics Permit - Sign & Seal?,Resolution No. 2021-022,Resolution No. 2021-092,Resolution No. 2021-9292,Resolution No. 2021-1022,Resolution No. 2021-022
4,Where can you find the 'General Provisions' within Republic Act 9292?,ARTICLE I,ARTICLE II,ARTICLE III,ARTICLE IV,ARTICLE I
5,Which article of Republic Act 9292 governs the Professional Regulatory Board of Electronics Engineering?,ARTICLE II,ARTICLE III,ARTICLE IV,ARTICLE V,ARTICLE II
6,"In Republic Act 9292, which article pertains to 'Examination, Registration, and Licensure'?",ARTICLE II,ARTICLE III,ARTICLE IV,ARTICLE V,ARTICLE III
7,"Under Republic Act 9292, which article deals with the 'Practice of PECE, ECE, ECT'?",ARTICLE II,ARTICLE III,ARTICLE IV,ARTICLE V,ARTICLE IV
8,"In Republic Act 9292, which article covers 'Sundry Provisions'?",ARTICLE II,ARTICLE III,ARTICLE IV,ARTICLE V,ARTICLE V
9,"In Republic Act 9292, which article addresses 'Penal Provision and Assistance of Law Enforcement Agencies'?",ARTICLE II,ARTICLE III,ARTICLE IV,ARTICLE V,ARTICLE VI
10,Which article in Republic Act 9292 is dedicated to 'Transitory Provisions'?,ARTICLE V,ARTICLE IV,ARTICLE III,ARTICLE VII,ARTICLE VII
11,"In Republic Act 9292, which article contains the 'Final Provisions'?",ARTICLE IV,ARTICLE II,ARTICLE IX,ARTICLE VIII,ARTICLE VIII
12,"In which section of the act can you locate the declaration, 'This Act shall be known as the 'Electronics Engineering Law of 2004''?",ARTICLE I SEC. 1,ARTICLE II SEC. 2,ARTICLE III SEC. 3,ARTICLE IV SEC. 4,ARTICLE I SEC. 1
13,In which section of Republic Act 9292 can you find the 'Statement of Policy'?,ARTICLE I SEC. 1,ARTICLE I SEC. 2,ARTICLE II SEC. 3,ARTICLE II SEC. 4,ARTICLE I SEC. 2
14,Where within Republic Act 9292 can you discover the 'Definition and Interpretation of Terms'?,ARTICLE I SEC. 1,ARTICLE I SEC. 2,ARTICLE I SEC. 3,ARTICLE I SEC. 4,ARTICLE I SEC. 3
15,In which section of Republic Act 9292 can you find the 'Categories of Practice'?,ARTICLE IV SEC. 5,ARTICLE I SEC. 2,ARTICLE II SEC. 6,ARTICLE I SEC. 4,ARTICLE I SEC. 4
16,Where can you locate information about the 'Nature and Scope of Practice of Electronics Engineering and Electronics Technician Professions' in Republic Act 9292?,ARTICLE IV SEC. 3,ARTICLE I SEC. 2,ARTICLE V SEC. 4,ARTICLE I SEC. 5,ARTICLE I SEC. 5
17,In which section of Republic Act 9292 is the 'Composition of the Board' detailed?,ARTICLE I SEC. 1,ARTICLE II SEC. 2,ARTICLE II SEC. 6,ARTICLE II SEC. 10,ARTICLE II SEC. 6
18,Where in Republic Act 9292 can you find the 'Powers and Functions of the Board'?,ARTICLE II SEC. 2,ARTICLE II SEC. 6,ARTICLE II SEC. 7,ARTICLE II SEC. 10,ARTICLE II SEC. 7
19,In which section of Republic Act 9292 are the 'Qualifications of Board Members' specified?,ARTICLE II SEC. 2,ARTICLE II SEC. 6,ARTICLE II SEC. 8,ARTICLE II SEC. 10,ARTICLE II SEC. 8
20,Where in Republic Act 9292 can you find the details regarding the 'Term of Office'?,ARTICLE II SEC. 3,ARTICLE II SEC. 5,ARTICLE II SEC. 9,ARTICLE III SEC. 10,ARTICLE II SEC. 9
21,In which section of Republic Act 9292 are the 'Compensation and Allowances of the Board' outlined?,ARTICLE II SEC. 2,ARTICLE II SEC. 9,ARTICLE II SEC. 10,ARTICLE II SEC. 12,ARTICLE II SEC. 10
22,Where can you find information about the 'Removal of Board Members' in Republic Act 9292?,ARTICLE II SEC. 10,ARTICLE II SEC. 6,ARTICLE II SEC. 11,ARTICLE II SEC. 12,ARTICLE II SEC. 11
23,"In which section of Republic Act 9292 can you locate details about the 'Custodian of Board Records, Secretariat, and Support Services'?",ARTICLE II SEC. 11,ARTICLE II SEC. 7,ARTICLE II SEC. 12,ARTICLE II SEC. 14,ARTICLE II SEC. 12
24,Where within Republic Act 9292 can you find information about the 'Licensure Examination'?,ARTICLE II SEC. 12,ARTICLE III SEC. 9,ARTICLE III SEC. 13,ARTICLE III SEC. 15,ARTICLE III SEC. 13
25,Where in Republic Act 9292 is the information about 'Qualifications for Examinations' detailed?,ARTICLE III SEC. 13,ARTICLE III SEC. 12,ARTICLE III SEC. 14,ARTICLE III SEC. 16,ARTICLE III SEC. 14
26,"In Republic Act 9292, where can you find the information regarding the 'Scope of Examination for Electronics Engineers and Electronics Technicians'?",ARTICLE III SEC. 14,ARTICLE III SEC. 12,ARTICLE III SEC. 15,ARTICLE III SEC. 18,ARTICLE III SEC. 15
27,Where in Republic Act 9292 is the information about 'Ratings' provided?,ARTICLE III SEC. 15,ARTICLE III SEC. 13,ARTICLE III SEC. 16,ARTICLE III SEC. 19,ARTICLE III SEC. 16
28,"In Republic Act 9292, where can you find details about the 'Release of the Results of Examination'?",ARTICLE III SEC. 11,ARTICLE III SEC. 14,ARTICLE III SEC. 17,ARTICLE III SEC. 20,ARTICLE III SEC. 17
29,Where within Republic Act 9292 can you find the information about the 'Qualifications and Schedule of Registration for Professional Electronics Engineer'?,ARTICLE III SEC. 12,ARTICLE III SEC. 15,ARTICLE III SEC. 18,ARTICLE III SEC. 21,ARTICLE III SEC. 18
30,"In Republic Act 9292, where is the process for the 'Issuance of the Certificate of Registration and Professional Identification Card' outlined?",ARTICLE III SEC. 13,ARTICLE III SEC. 16,ARTICLE III SEC. 19,ARTICLE III SEC. 18,ARTICLE III SEC. 19
31,Where in Republic Act 9292 can you find the provision related to 'Registration without Examination for Electronics Technicians'?,ARTICLE III SEC. 13,ARTICLE III SEC. 16,ARTICLE III SEC. 20,ARTICLE III SEC. 23,ARTICLE III SEC. 20
32,Where in Republic Act 9292 can you find information about the 'Non-issuance of a Certificate of Registration and/or Professional Identification Card for Certain Grounds'?,ARTICLE IV,ARTICLE III SEC. 17,ARTICLE III SEC. 21,ARTICLE V,ARTICLE III SEC. 21
33,In which section of Republic Act 9292 can you find the 'Professional Oath'?,ARTICLE VII,ARTICLE III SEC. 18,ARTICLE IV,ARTICLE III SEC. 22,ARTICLE III SEC. 22
34,Where within Republic Act 9292 can you find information regarding the 'Revocation and Suspension of Certificate of Registration'?,ARTICLE VI,ARTICLE III SEC. 22,ARTICLE III SEC. 23,ARTICLE IV,ARTICLE III SEC. 23
35,"In which section of Republic Act 9292 is the process for 'Reinstatement, Re-issuance, or Replacement of Certificate of Registration and Professional Identification Card' described?",ARTICLE III SEC. 16,ARTICLE III SEC. 22,ARTICLE III SEC. 24,ARTICLE III SEC. 23,ARTICLE III SEC. 24
